type,fraction,run,accuracy,thinking_length,non_thinking_length,problem_id
keywords,0.1,1,100.0,87,1324,1986-6
keywords,0.1,1,100.0,75,1103,1986-7
keywords,0.1,1,100.0,11,1435,1986-8
keywords,0.1,1,0.0,41,1485,1986-9
keywords,0.1,1,100.0,10,1361,1986-10
keywords,0.1,1,100.0,2805,1844,1986-11
keywords,0.1,1,100.0,11891,1357,1986-12
keywords,0.1,1,0.0,7362,0,1986-13
keywords,0.1,1,100.0,11,66,1986-14
keywords,0.1,1,0.0,13551,0,1986-15
keywords,0.1,1,100.0,79,1304,1987-1
keywords,0.1,1,100.0,11,759,1987-2
keywords,0.1,1,100.0,40,871,1987-3
keywords,0.1,1,100.0,42,1388,1987-4
keywords,0.1,1,100.0,11,1106,1987-5
keywords,0.1,1,0.0,3011,1385,1987-6
keywords,0.1,1,100.0,39,1572,1987-7
keywords,0.1,1,0.0,129,166,1987-8
keywords,0.1,1,100.0,39,1340,1987-9
keywords,0.1,1,100.0,40,1471,1987-10
keywords,0.1,1,100.0,40,1321,1987-11
keywords,0.1,1,100.0,39,1624,1987-12
keywords,0.1,1,0.0,11,1626,1987-14
keywords,0.1,1,0.0,8481,0,1987-15
keywords,0.1,1,100.0,40,1845,1988-2
keywords,0.1,1,100.0,39,1021,1988-3
keywords,0.1,1,100.0,40,1160,1988-5
keywords,0.1,1,100.0,40,1639,1988-7
keywords,0.1,1,0.0,12123,1553,1988-8
keywords,0.1,1,100.0,2048,0,1988-9
keywords,0.1,1,100.0,40,1794,1988-10
keywords,0.1,1,100.0,40,1486,1988-13
keywords,0.1,1,100.0,39,1412,1988-14
keywords,0.1,1,0.0,40,1167,1988-15
keywords,0.1,1,100.0,40,698,1989-1
keywords,0.1,1,100.0,40,1045,1989-2
keywords,0.1,1,100.0,41,1176,1989-4
keywords,0.1,1,100.0,3312,1349,1989-5
keywords,0.1,1,100.0,40,1350,1989-7
keywords,0.1,1,100.0,40,1285,1989-8
keywords,0.1,1,100.0,40,1384,1989-9
keywords,0.1,1,0.0,0,0,1989-11
keywords,0.1,1,100.0,40,1172,1989-13
keywords,0.1,1,0.0,40,1611,1990-1
keywords,0.1,1,0.0,17365,0,1990-2
keywords,0.1,1,0.0,11,1588,1990-3
keywords,0.1,1,0.0,43,1146,1990-5
keywords,0.1,1,100.0,11,1257,1990-6
keywords,0.1,1,100.0,39,1644,1990-7
keywords,0.1,1,100.0,39,1624,1990-9
keywords,0.1,1,100.0,40,1040,1990-10
keywords,0.1,1,0.0,11744,0,1990-11
keywords,0.1,1,100.0,118,1633,1990-13
keywords,0.1,1,0.0,8812,0,1990-14
keywords,0.1,1,100.0,674,1167,1990-15
keywords,0.1,1,100.0,40,1110,1991-1
keywords,0.1,1,100.0,11,79,1991-2
keywords,0.1,1,0.0,506,1260,1991-4
keywords,0.1,1,100.0,11,150,1991-5
keywords,0.1,1,100.0,39,1462,1991-8
keywords,0.1,1,100.0,39,1254,1991-9
keywords,0.1,1,0.0,0,0,1991-10
keywords,0.1,1,0.0,0,0,1991-11
keywords,0.1,1,100.0,40,1971,1991-12
keywords,0.1,1,100.0,12,1302,1991-13
keywords,0.1,1,0.0,0,0,1991-14
keywords,0.1,1,0.0,0,0,1992-1
keywords,0.1,1,100.0,86,940,1992-2
keywords,0.1,1,100.0,1843,0,1992-3
keywords,0.1,1,100.0,39,1272,1992-4
keywords,0.1,1,0.0,11,1537,1992-5
keywords,0.1,1,100.0,40,1150,1992-6
keywords,0.1,1,100.0,40,1579,1992-7
keywords,0.1,1,100.0,40,1287,1992-8
keywords,0.1,1,0.0,0,0,1992-9
keywords,0.1,1,100.0,41,1814,1992-10
keywords,0.1,1,100.0,40,1610,1992-11
keywords,0.1,1,100.0,11,798,1992-12
keywords,0.1,1,0.0,7789,1583,1992-13
keywords,0.1,1,100.0,39,789,1992-14
keywords,0.1,1,100.0,40,1336,1992-15
keywords,0.1,1,0.0,2385,1442,1993-1
keywords,0.1,1,100.0,40,1531,1993-2
keywords,0.1,1,100.0,40,1330,1993-4
keywords,0.1,1,0.0,0,0,1993-5
keywords,0.1,1,100.0,1363,0,1993-6
keywords,0.1,1,100.0,38,1734,1993-7
keywords,0.1,1,100.0,41,1302,1993-8
keywords,0.1,1,100.0,100,2230,1993-9
keywords,0.1,1,0.0,0,0,1993-10
keywords,0.1,1,0.0,3594,2262,1993-11
keywords,0.1,1,100.0,247,1301,1993-12
keywords,0.1,1,0.0,5565,0,1993-13
keywords,0.1,1,0.0,10576,97,1993-14
keywords,0.1,1,0.0,40,1900,1993-15
keywords,0.1,1,0.0,0,0,1994-1
keywords,0.1,1,100.0,40,1848,1994-2
keywords,0.1,1,100.0,41,1484,1994-8
keywords,0.1,1,0.0,0,0,1994-9
keywords,0.1,1,100.0,40,1634,1994-10
keywords,0.1,1,0.0,0,0,1994-11
keywords,0.1,1,0.0,40,1923,1994-12
keywords,0.1,1,0.0,2766,0,1994-14
keywords,0.1,1,0.0,0,0,1994-15
keywords,0.1,1,0.0,10,1628,1995-1
keywords,0.1,1,0.0,0,0,1995-2
keywords,0.1,1,0.0,40,1797,1995-3
keywords,0.1,1,0.0,40,1558,1995-4
keywords,0.1,1,100.0,11,39,1995-5
keywords,0.1,1,0.0,0,0,1995-6
keywords,0.1,1,100.0,39,1517,1995-8
keywords,0.1,1,100.0,40,1797,1995-9
keywords,0.1,1,100.0,2629,1515,1995-10
keywords,0.1,1,0.0,0,0,1995-11
keywords,0.1,1,0.0,0,0,1995-12
keywords,0.1,1,0.0,0,0,1995-13
keywords,0.1,1,0.0,1,0,1995-14
keywords,0.1,1,100.0,39,2233,1995-15
keywords,0.1,1,100.0,12,1044,1996-2
keywords,0.1,1,100.0,39,1160,1996-3
keywords,0.1,1,0.0,41,1332,1996-4
keywords,0.1,1,100.0,39,1167,1996-5
keywords,0.1,1,0.0,0,0,1996-6
keywords,0.1,1,100.0,41,1066,1996-7
keywords,0.1,1,100.0,40,1845,1996-8
keywords,0.1,1,0.0,0,0,1996-9
keywords,0.1,1,100.0,10,1480,1996-10
keywords,0.1,1,100.0,11,1859,1996-11
keywords,0.1,1,100.0,11,1633,1996-12
keywords,0.1,1,0.0,10,1260,1996-13
keywords,0.1,1,100.0,42,792,1996-14
